year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap4bc862820,ca,4,24000,black,gray,nissan-infiniti lt,17600,17750
2011,BMW,5 Series,528i,Sedan,automatic,wbafr1c56bdv82627,ca,4,22808,black,black,financial services remarketing (lease),26700,27500
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er262199,ca,4,22495,black,black,enterprise holdings/gdp,16550,16500
2013,Nissan,Leaf,SL,Hatchback,automatic,1n4az0cp7dc403583,ca,4,21826,White,black,nissan-infiniti lt,13100,15250
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexdu731797,ca,4,21579,black,gray,hyundai motor finance,12350,12600
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxer262103,ca,4,21537,black,black,enterprise holdings/gdp,16850,16250
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg0eh300259,ca,4,11941,White,black,pv holding inc/gdp,16950,17400
2014,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg8eh267518,ca,4,10824,white,black,hertz corporation/gdp,20600,20000
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg4eh300216,ca,4,10794,White,black,pv holding inc/gdp,17000,17600
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec9eg452373,ca,4,9685,white,black,ars/acme auto leasing,31700,30000
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdx04560,ca,5,54744,black,black,financial services remarketing (lease),27600,29250
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,3tmju4gn1dm152583,ca,5,18015,silver,gray,honda of serramonte,24400,23700
2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a40ca060750,ca,5,17437,black,gray,hyundai motor america/co car,14650,17400
2015,Kia,Sorento,LX,SUV,automatic,5xyktca69fg566472,ca,5,16639,white,black,kia motors america  inc,20500,21500
